"log_time","user_created_time","impact_category","logged_value"
2023-12-01 22:41:45.194 +1100,2023-06-12 22:34:32.622 +1000,energy_level_upon_awakening,7.8
2023-12-01 22:41:52.015 +1100,2023-06-12 22:34:32.622 +1000,mood,8.2
2024-04-04 06:41:29.535 +1100,2022-08-28 20:42:11.356 +1000,energy_level_upon_awakening,5
2023-10-06 20:00:10.010 +1100,2023-09-14 21:11:12.348 +1000,perception_of_productivity,8.13
2023-09-29 17:23:46.048 +1000,2023-09-23 13:12:34.375 +1000,energy_level_upon_awakening,5
2024-01-18 02:42:09.429 +1100,2023-06-28 03:46:07.052 +1000,hours_of_sleep,4
2024-01-19 23:31:10.129 +1100,2023-12-28 10:18:52.738 +1100,hours_of_sleep,0
2024-04-01 17:06:42.916 +1100,2023-12-07 11:21:17.225 +1100,hours_of_sleep,7
2024-04-01 17:06:56.796 +1100,2023-12-07 11:21:17.225 +1100,mood,7
2024-04-05 07:46:58.918 +1100,2022-08-28 20:42:11.356 +1000,mood,7.15
2024-04-06 08:51:04.271 +1100,2023-08-17 03:37:21.683 +1000,perception_of_productivity,5
2023-10-01 06:50:26.034 +1100,2022-09-10 20:36:44.882 +1000,hours_of_sleep,6.00
2023-09-28 01:58:31.991 +1000,2023-01-17 04:51:52.964 +1100,perception_of_productivity,10
2024-03-21 19:58:06.945 +1100,2024-01-30 00:50:40.963 +1100,hours_of_sleep,0
2023-09-28 01:58:35.380 +1000,2023-01-17 04:51:52.964 +1100,mood,9.96
2023-09-28 21:53:33.069 +1000,2023-09-26 23:36:29.242 +1000,hours_of_sleep,7.5
2023-09-28 21:53:54.465 +1000,2023-09-26 23:36:29.242 +1000,energy_level_upon_awakening,5
2023-09-28 04:56:32.834 +1000,2023-01-17 04:51:52.964 +1100,perception_of_productivity,7.91
2023-09-28 21:54:04.607 +1000,2023-09-26 23:36:29.242 +1000,mood,4.28
2023-09-28 04:56:36.169 +1000,2023-01-17 04:51:52.964 +1100,mood,9.25
2023-09-29 18:46:27.098 +1000,2023-09-26 23:36:29.242 +1000,perception_of_productivity,7.73
2023-10-01 06:50:30.858 +1100,2022-09-10 20:36:44.882 +1000,energy_level_upon_awakening,5.96
2023-10-01 06:50:36.646 +1100,2022-09-10 20:36:44.882 +1000,mood,6.87
