Label,Value,Unit,Name,SearchTime
黄金价格,¥625 ,元/克,initial,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,initial,2024:01:08:06:39:58
金条金价(内地),¥615 ,元/克,initial,2024:01:08:06:39:58
饰品金价(内地),¥625 ,元/克,initial,2024:01:08:06:39:58
黄金饰品(香港),"¥22,500 ",港币/两,initial,2024:01:08:06:39:58
铂金价格(香港),"¥11,470 ",港币/两,initial,2024:01:08:06:39:58
金条价格(香港),"¥20,520 ",港币/两,initial,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,周大福,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,周大福,2024:01:08:06:39:58
金条金价(内地),¥615 ,元/克,周大福,2024:01:08:06:39:58
饰品金价(内地),¥625 ,元/克,周大福,2024:01:08:06:39:58
黄金饰品(香港),"¥22,500 ",港币/两,周大福,2024:01:08:06:39:58
铂金价格(香港),"¥11,470 ",港币/两,周大福,2024:01:08:06:39:58
金条价格(香港),"¥20,520 ",港币/两,周大福,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,老凤祥,2024:01:08:06:39:58
铂金价格,¥365 ,元/克,老凤祥,2024:01:08:06:39:58
足金价格,¥625 ,元/克,老凤祥,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,周六福,2024:01:08:06:39:58
铂金价格,¥406 ,元/克,周六福,2024:01:08:06:39:58
金条价格,¥566 ,元/克,周六福,2024:01:08:06:39:58
PT999铂金价格,¥406 ,元/克,周六福,2024:01:08:06:39:58
黄金价格,¥623 ,元/克,周生生,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,周生生,2024:01:08:06:39:58
金条金价(内地),¥613 ,元/克,周生生,2024:01:08:06:39:58
饰品金价(内地),¥623 ,元/克,周生生,2024:01:08:06:39:58
黄金饰品(香港),"¥22,500 ",港币/两,周生生,2024:01:08:06:39:58
铂金价格(香港),"¥11,470 ",港币/两,周生生,2024:01:08:06:39:58
金条价格(香港),"¥20,520 ",港币/两,周生生,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,六福珠宝,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,六福珠宝,2024:01:08:06:39:58
金条金价(内地),¥615 ,元/克,六福珠宝,2024:01:08:06:39:58
饰品金价(内地),¥625 ,元/克,六福珠宝,2024:01:08:06:39:58
黄金饰品(香港),"¥22,500 ",港币/两,六福珠宝,2024:01:08:06:39:58
铂金价格(香港),"¥11,470 ",港币/两,六福珠宝,2024:01:08:06:39:58
金条价格(香港),"¥20,520 ",港币/两,六福珠宝,2024:01:08:06:39:58
黄金价格,¥609 ,元/克,菜百,2024:01:08:06:39:58
铂金价格,¥358 ,元/克,菜百,2024:01:08:06:39:58
基础银价,¥5.50 ,元/克,菜百,2024:01:08:06:39:58
PT950铂金,¥358 ,元/克,菜百,2024:01:08:06:39:58
PT990铂金,¥362 ,元/克,菜百,2024:01:08:06:39:58
PT999铂金,¥368 ,元/克,菜百,2024:01:08:06:39:58
饰品金条价格,¥545 ,元/克,菜百,2024:01:08:06:39:58
摆件价格,¥392 ,元/克,菜百,2024:01:08:06:39:58
足金价格,¥609 ,元/克,菜百,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,金至尊,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,金至尊,2024:01:08:06:39:58
首饰,¥625 ,元,金至尊,2024:01:08:06:39:58
黄金价格,¥624 ,元/克,老庙,2024:01:08:06:39:58
铂金价格,¥360 ,元/克,老庙,2024:01:08:06:39:58
金条/金块价格,¥579 ,元/克,老庙,2024:01:08:06:39:58
足金价格,¥624 ,元/克,老庙,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,潮宏基,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,潮宏基,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,周大生,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,周大生,2024:01:08:06:39:58
黄金价格,¥624 ,元/克,亚一金店,2024:01:08:06:39:58
铂金价格,¥360 ,元/克,亚一金店,2024:01:08:06:39:58
黄金价格,¥612 ,元/克,宝庆银楼,2024:01:08:06:39:58
铂金价格,¥368 ,元/克,宝庆银楼,2024:01:08:06:39:58
黄金价格,¥549 ,元/克,太阳金店,2024:01:08:06:39:58
铂金价格,¥369 ,元/克,太阳金店,2024:01:08:06:39:58
黄金价格,¥556 ,元/克,齐鲁金店,2024:01:08:06:39:58
铂金价格,¥399 ,元/克,齐鲁金店,2024:01:08:06:39:58
中国黄金基础金价,¥482 ,元/克,中国黄金,2024:01:08:06:39:58
投资金条/储值金条/元宝金：零售价,¥496 ,元/克,中国黄金,2024:01:08:06:39:58
投资金条/储值金条/元宝金：回购价,¥480 ,元/克,中国黄金,2024:01:08:06:39:58
金条,¥493.30 ,元/克,高赛尔,2024:01:08:06:39:58
银条,¥5.69 ,元/克,高赛尔,2024:01:08:06:39:58
黄金价格,¥624 ,元/克,千禧之星,2024:01:08:06:39:58
铂金价格,¥360 ,元/克,千禧之星,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,吉盟珠宝,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,吉盟珠宝,2024:01:08:06:39:58
黄金价格,¥623 ,元/克,东祥金店,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,东祥金店,2024:01:08:06:39:58
黄金价格,¥573 ,元/克,萃华金店,2024:01:08:06:39:58
铂金价格,¥359 ,元/克,萃华金店,2024:01:08:06:39:58
黄金价格,¥621 ,元/克,百泰黄金,2024:01:08:06:39:58
金条价格,¥505 ,元/克,百泰黄金,2024:01:08:06:39:58
黄金价格,¥613 ,元/克,金象珠宝,2024:01:08:06:39:58
黄金价格,¥605 ,元/克,常州金店,2024:01:08:06:39:58
铂金价格,¥368 ,元/克,常州金店,2024:01:08:06:39:58
黄金价格,¥550 ,元/克,扬州金店,2024:01:08:06:39:58
铂金价格,¥340 ,元/克,扬州金店,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,嘉华珠宝,2024:01:08:06:39:58
黄金价格,¥595 ,元/克,福泰珠宝,2024:01:08:06:39:58
铂金价格,¥360 ,元/克,福泰珠宝,2024:01:08:06:39:58
黄金价格,¥614 ,元/克,城隍珠宝,2024:01:08:06:39:58
铂金价格,¥350 ,元/克,城隍珠宝,2024:01:08:06:39:58
黄金价格,¥624 ,元/克,星光达珠宝,2024:01:08:06:39:58
铂金价格,¥360 ,元/克,星光达珠宝,2024:01:08:06:39:58
黄金价格,¥624 ,元/克,金兰首饰,2024:01:08:06:39:58
铂金价格,¥360 ,元/克,金兰首饰,2024:01:08:06:39:58
投资金条,¥600 ,元/克,金银街,2024:01:08:06:39:58
工艺金条,¥615 ,元/克,金银街,2024:01:08:06:39:58
千足金首饰,¥605 ,元/克,金银街,2024:01:08:06:39:58
投资银条,¥5.39 ,元/克,金银街,2024:01:08:06:39:58
黄金回购,¥481 ,元/克,金银街,2024:01:08:06:39:58
白银回购,¥5.51 ,元/克,金银街,2024:01:08:06:39:58
千足金饰品,¥588 ,元/克,多边金都珠宝,2024:01:08:06:39:58
3D硬金,"¥1,122 ",元/克,多边金都珠宝,2024:01:08:06:39:58
精品挂件,¥592 ,元/克,多边金都珠宝,2024:01:08:06:39:58
铂金PT990,¥385 ,元/克,多边金都珠宝,2024:01:08:06:39:58
